,tweet_norm_case_labelling,score_tweet_labelling,sentiment,sentiment_score,tweet,date,username,tweet_case_norm,tweet_text_prepocessing_stem,tweet_text_prepocessing_nostem,sentiment_predict
0,koneksinya kenapa sangat lambat admin,-7,negative,0,Koneksinya kenapa sangat lambat min? @Indihome,2023-06-15 07:18:00+00:00,kurniawanbrooo,koneksinya kenapa sangat lambat admin,koneksi lambat admin,koneksinya lambat admin,0
1,penggantian perangkat gratis tapi saya ssssudahhhh mengajukan penggantian perangkat berulangulang kali selalu dijawab nanti tapi sampai sekarang tidak ada kejelasan,-5,negative,0, Penggantian perangkat gratis tapi saya sssudahhhh ngajuin penggantian perangkat berulang-ulang kali selalu dijawab nanti tapi sampe sekarang gada kejelasan🙏,2023-06-15 06:24:57+00:00,venuchia__,penggantian perangkat gratis tapi saya ssssudahhhh mengajukan penggantian perangkat berulangulang kali selalu dijawab nanti tapi sampai sekarang tidak ada kejelasan,ganti perangkat gratis aju ganti perangkat berulangulang kali jelas,penggantian perangkat gratis mengajukan penggantian perangkat berulangulang kali kejelasan,0
2,makin sini makin jelek saja indihome,-4,negative,0,Makin sini makin jelek aja indihome @IndiHome,2023-06-15 06:20:37+00:00,mithauliar,makin sini makin jelek saja indihome,jelek indihome,jelek indihome,0
3,sudah mencoba beberapa penyedia layanan tetapi kualitas internet tetap jelek banget sangat mengganggu aktivitas online saya,2,positive,1,"Sudah mencoba beberapa penyedia layanan, tetapi kualitas internet @indihome tetap jelek banget. Sangat mengganggu aktivitas online saya.",2023-06-15 06:14:41+00:00,Ciozacio,sudah mencoba beberapa penyedia layanan tetapi kualitas internet tetap jelek banget sangat mengganggu aktivitas online saya,coba sedia layan kualitas internet jelek banget ganggu aktivitas online,mencoba penyedia layanan kualitas internet jelek banget mengganggu aktivitas online,1
4,makin kesini makin parah saja ini jaringan kami padahal kami ssssudahhhh upgrade ke mbps kami sangat terganggu dengan jaringan yang turun naik bahkan kami cek peed cuma mb saja tolong di perbaiki kenapar konsumen tidak kecewa id saya,-27,negative,0,"@IndiHome @IndiHomeCare 
Makin kesini makin parah ajh ini jaringan kami... padahal kami sudah upgrade ke 100Mbps, kami sangat terganggu dengan jaringan yang turun naik, malah kami cek peed cuma 2-3mb saja, tolong di perbaiki agar konsumen tidak kecewa!

id saya 0021082696958",2023-06-15 04:46:18+00:00,ega_frick,makin kesini makin parah saja ini jaringan kami padahal kami sudah upgrade ke mbps kami sangat terganggu dengan jaringan yang turun naik bahkan kami cek peed cuma mb saja tolong di perbaiki kenapar konsumen tidak kecewa id saya,kesini parah jaring upgrade mbps ganggu jaring turun cek peed mb tolong baik konsumen kecewa id,kesini parah jaringan upgrade mbps terganggu jaringan turun cek peed mb tolong perbaiki konsumen kecewa id,0
5,kecewa dengan kecepatan internet sangat jelek banget sulit untuk melakukan video telepon atau mengunduh file dengan cepat,3,positive,1,"Kecewa dengan kecepatan internet @indihome, sangat jelek banget. Sulit untuk melakukan video call atau mengunduh file dengan cepat",2023-06-15 04:37:55+00:00,YDiwH3Ka8fcNQjb,kecewa dengan kecepatan internet sangat jelek banget sulit untuk melakukan video telepon atau mengunduh file dengan cepat,kecewa cepat internet jelek banget sulit video telepon unduh file cepat,kecewa kecepatan internet jelek banget sulit video telepon mengunduh file cepat,0
6,internet di tempat kerja saya jelek banget sulit untuk menjalankan tugas dengan baik karena koneksi yang buruk,-24,negative,0,Internet @indihome di tempat kerja saya jelek banget. Sulit untuk menjalankan tugas dengan baik karena koneksi yang buruk,2023-06-15 02:57:33+00:00,dai_kaiju,internet di tempat kerja saya jelek banget sulit untuk menjalankan tugas dengan baik karena koneksi yang buruk,internet kerja jelek banget sulit jalan tugas koneksi buruk,internet kerja jelek banget sulit menjalankan tugas koneksi buruk,0
7,saya sangat kecewa dengan layanan kualitas sinyal mereka jelek banget sering terjadi putusputus dan tidak stabil,2,positive,1,"Saya sangat kecewa dengan layanan @indihome. Kualitas sinyal mereka jelek banget, sering terjadi putus-putus dan tidak stabil.",2023-06-15 02:40:29+00:00,ipramono_,saya sangat kecewa dengan layanan kualitas sinyal mereka jelek banget sering terjadi putusputus dan tidak stabil,kecewa layan kualitas sinyal jelek banget putusputus stabil,kecewa layanan kualitas sinyal jelek banget putusputus stabil,0
8,internet di kantor bayar sampai juta lebe tapi jaringan lambat minta ampun,-8,negative,0,internet di kantor bayar sampe 20 juta lebe tapi jaringan lemot minta ampun @indihome,2023-06-15 02:22:09+00:00,JMangimbulude,internet di kantor bayar sampai juta lebe tapi jaringan lambat minta ampun,internet kantor bayar juta lebe jaring lambat ampun,internet kantor bayar juta lebe jaringan lambat ampun,0
9,udah dibayar masih lambat terus buriknya we mau nugas,2,positive,1, @IndiHomeCare udh dibayar msih ngeload trs?!?!? Buriknya  We mau nugas ,2023-06-15 01:49:07+00:00,ytny_,udah dibayar masih lambat terus buriknya we mau nugas,udah bayar lambat burik we nugas,udah dibayar lambat buriknya we nugas,0
10,hado ini kenapa tidak internet melulu deh,-8,negative,0,"Hado ini kenapa ""no internet"" mulu dah?? @IndiHomeCare @IndiHome",2023-06-15 01:35:50+00:00,_justrandomgurl,hado ini kenapa tidak internet melulu deh,hado internet melulu,hado internet melulu,0
11,aneh saja gitu sinyal tidak ada tapi ditagih full bulan dan penagihan setelah bulan tidak dibayarkan kenapa tidak pas bulan kalau cuma denda beberapa persen dari total tagihan masih okelah tapi ini full pembayarannya,-19,negative,0,"Aneh aja gitu, sinyal ga ada, tapi ditagih full 2 bulan dan penagihan setelah 2 bulan ga dibayarkan. Kenapa ga pas 1 bulan? Kalo cuma denda beberapa persen dari total tagihan, masih okelah, tapi ini FULL pembayarannya @IndiHomeCare @IndiHome",2023-06-15 00:45:42+00:00,FitriasmaKindra,aneh saja gitu sinyal tidak ada tapi ditagih full bulan dan penagihan setelah bulan tidak dibayarkan kenapa tidak pas bulan kalau cuma denda beberapa persen dari total tagihan masih okelah tapi ini full pembayarannya,aneh gitu sinyal tagih full tagih bayar denda persen total tagih oke full bayar,aneh gitu sinyal ditagih full penagihan dibayarkan denda persen total tagihan okelah full pembayarannya,0
12,internet saya gangguan,-3,negative,0,@IndiHome wifi saya gangguan,2023-06-14 23:09:57+00:00,Yasmin160118,internet saya gangguan,internet ganggu,internet gangguan,1
13,internet saya lambat,-8,negative,0,wifi saya lemot @IndiHome,2023-06-14 23:09:10+00:00,Belawr77965871,internet saya lambat,internet lambat,internet lambat,0
14,tidak dapat diandalkan di depan perumahan kami selalu memberikan koneksi internet yang bermasalah saya seringkali kehilangan sinyal,-19,negative,0,Tidak dapat diandalkan! @indihome di depan perumahan kami selalu memberikan koneksi internet yang bermasalah. Saya seringkali kehilangan sinyal.,2023-06-14 18:40:24+00:00,hyunjinwiffey,tidak dapat diandalkan di depan perumahan kami selalu memberikan koneksi internet yang bermasalah saya seringkali kehilangan sinyal,andal rumah koneksi internet masalah seringkali hilang sinyal,diandalkan perumahan koneksi internet bermasalah seringkali kehilangan sinyal,0
15,indihome mengapa lambat banget siii gangguan melulu padahal saya pakai yang mbps,-15,negative,0,Indihome ngapa ngelag banget siii gangguan mulu padahal gw pake yg 50 mbps @IndiHome,2023-06-14 18:33:48+00:00,cashewyyy,indihome mengapa lambat banget siii gangguan melulu padahal saya pakai yang mbps,indihome lambat banget siii ganggu melulu pakai mbps,indihome lambat banget siii gangguan melulu pakai mbps,0
16,ini lagi ada gangguan apa bkenapaimana iya daritadi buka twt loading terus,-5,negative,0,ini lagi ada gangguan apa gimana ya? daritadi buka twt loading terus @IndiHomeCare @IndiHome,2023-06-14 18:29:52+00:00,jutsuikaisen,ini lagi ada gangguan apa bkenapaimana iya daritadi buka twt loading terus,ganggu daritadi buka twt loading,gangguan daritadi buka twt loading,0
17, kramatwatu saya dari serang bahkan layanan internet tidak tersedia padahal lampu indikator ijo semua,-7,negative,0,@rahmatajiptrnto @IndiHome Wkwk... Kramatwatu... Saya dari serang malah layanan Internet tidak tersedia... Padahal lampu Indikator ijo semua,2023-06-14 18:27:54+00:00,_____kingAJ, kramatwatu saya dari serang bahkan layanan internet tidak tersedia padahal lampu indikator ijo semua,kramatwatu serang layan internet sedia lampu indikator ijo,kramatwatu serang layanan internet tersedia lampu indikator ijo,0
18,kita ini sbgai konsumen bisa tidak iya gugat kayak yang suka hilang akses internet,-10,negative,0,Kita nih sbgai konsumen bisa ga ya gugat kayak @IndiHome yang suka² hilang akses internet ?,2023-06-14 18:26:41+00:00,rangga_dikta,kita ini sbgai konsumen bisa tidak iya gugat kayak yang suka hilang akses internet,sbgai konsumen gugat kayak suka hilang akses internet,sbgai konsumen gugat kayak suka hilang akses internet,0
19,kenapa jaringan indihome mati admin,1,positive,1,kenapa jaringan indihome mati min @Indihome,2023-06-14 18:25:01+00:00,NotForSale56,kenapa jaringan indihome mati admin,jaring indihome mati admin,jaringan indihome mati admin,0
20,admin ini internet kenapa mati saya lagi main valo jadi kalah anjay,-15,negative,0,@kegblgnunfaedh @alditaher @FIFAWorldCup @IndiHome min ini internet kenapa matiiiii??!!!! gua lagi maen valo jadi kalah anjay,2023-06-14 18:12:10+00:00,agyma_,admin ini internet kenapa mati saya lagi main valo jadi kalah anjay,admin internet mati main valo kalah anjay,admin internet mati main valo kalah anjay,0
21,kenapa bisa tiba tiba internet gangguan ini saya udah restart internet x listrik rumahpun saya restart tolong lah mau wish kazuha saya,-4,negative,0,"Kenapa bisa tbtb wifi error ini saya udh restart wifi 5x, listrik rumahpun saya restart @IndiHome. Tolong lah mau wish Kazuha saya",2023-06-14 18:11:46+00:00,avinnio,kenapa bisa tiba tiba internet gangguan ini saya udah restart internet x listrik rumahpun saya restart tolong lah mau wish kazuha saya,internet ganggu udah restart internet x listrik rumah restart tolong wish kazuha,internet gangguan udah restart internet x listrik rumahpun restart tolong wish kazuha,0
22,admin ini internet kenapa matiiiiiiiii saya lagi main valo jadi kalah ini,-11,negative,0,@TxtdariHI @IndiHome min ini internet kenapa matiiiiiiiii??!!! gua lagi maen valo jadi kalah ini,2023-06-14 18:10:59+00:00,agyma_,admin ini internet kenapa matiiiiiiiii saya lagi main valo jadi kalah ini,admin internet matiiiiiiiii main valo kalah,admin internet matiiiiiiiii main valo kalah,0
23,kambuh penyakitnya,-4,negative,0,@chkajapinto @sunraybeam @IndiHomeCare @IndiHome Kambuh penyakitnya,2023-06-14 17:55:18+00:00,chernobel16,kambuh penyakitnya,kambuh sakit,kambuh penyakitnya,0
24,ini internet kenapa tibatiba mati iya yakali tengah malam gangguan,-3,negative,0,"Ini internet kenapa tiba-tiba mati ya @IndiHomeCare @IndiHome ?

Yakali tengah malem gangguan",2023-06-14 17:47:44+00:00,sunraybeam,ini internet kenapa tibatiba mati iya yakali tengah malam gangguan,internet tibatiba mati yakali malam ganggu,internet tibatiba mati yakali malam gangguan,0
25,kamu kenapa deh aneh banget internet kamu,1,positive,1,@IndiHome lo kenapa dah aneh bgt internet lo,2023-06-14 17:04:49+00:00,chicagoloverboy,kamu kenapa deh aneh banget internet kamu,aneh banget internet,aneh banget internet,0
26,indihome kenapa bermasalah terus min,-3,negative,0,@_helveticanism @IndiHome Mana desain aing,2023-06-14 15:50:16+00:00,Molenelo,indihome kenapa bermasalah terus min,indihome kenapa masalah,indihome kenapa masalah ,0
27,kecewa,-5,negative,0,@Molenelo @IndiHome tonjok,2023-06-14 15:36:27+00:00,_helveticanism,kecewa,kecewa,kecewa,0
28,internetnya bermasalah ,-7,negative,0,"@IndiHomeCare @IndiHome halo kak, indikator lampu PON nya kedip wrna merah nih dr td siang, gmn ya cara ngatasinya? terima kasih",2023-06-14 15:34:08+00:00,lulu73775096,internertnya bermasalah,internet masalah,internet bermasalah,0
