,Unnamed: 0,tweet_case_norm_labelling,score,sentiment,sentiment_score,tweet,date,username,tweet_text_prepocessing_stem,tweet_text_prepocessing_nostem,tweet_case_norm,sentiment_predict
0,335,halo mohon dibantu,3,positive,1,@IndiHome halo.. mohon dibantu,2023-06-10 07:58:05+00:00,payung_jamur,halo mohon bantu,halo mohon dibantu,halo mohon dibantu,1
1,1625,kualitas sinyal wifi indihome sangat baik di seluruh area rumah puas sekali,10,positive,1,Kualitas sinyal Wi-Fi IndiHome sangat baik di seluruh area rumah. Puas sekali!,2023-07-19 19:21:54+00:00,adhityanandha15,kualitas sinyal wifi indihome area rumah puas,kualitas sinyal wifi indihome area rumah puas,kualitas sinyal wifi indihome sangat baik di seluruh area rumah puas sekali,1
2,1014,selamat siang indihome saya wilayah kota palembang kecamatan sako telah mengalami gangguan pada layanan internet dan tv kabel mohon segera diperbaiki,1,positive,1,"selamat siang @IndiHome @IndiHomeCare indihome saya 07115700238 wilayah kota palembang kecamatan sako telah mengalami gangguan pada layanan internet dan TV kabel, mohon segera diperbaiki",2023-05-22 06:12:09+00:00,wakka_maru,selamat siang indihome wilayah kota palembang camat sako alami ganggu layan internet tv kabel mohon baik,selamat siang indihome wilayah kota palembang kecamatan sako mengalami gangguan layanan internet tv kabel mohon diperbaiki,selamat siang indihome saya wilayah kota palembang kecamatan sako telah mengalami gangguan pada layanan internet dan tv kabel mohon segera diperbaiki,1
3,344,wifi suka amat bikin kzl,1,positive,1,wifi @IndiHome demen amat bikin kzl 😌😌😌 https://t.co/NOlwC5tWQ4,2023-06-10 05:47:41+00:00,ariny_nh,wifi suka bikin kzl,wifi suka bikin kzl,wifi suka amat bikin kzl,1
4,261,ayaaya wae,0,positive,1,@IndiHome ayaaya wae,2023-06-11 07:40:54+00:00,ZeldaSieg,ayaaya wae,ayaaya wae,ayaaya wae,0
5,83,sekarang setiap sudut rumah sobat bisa terjangkau internet dengan lancar loh cukup langganan ultra wifi saja tanpa perangkat baru bikin praktis pemasangannya cek informasi selengkapnya di,5,positive,1,"Sekarang setiap sudut rumah Sobat bisa terjangkau internet dengan lancar, loh! Cukup langganan Ultra Wifi aja 😄

Tanpa perangkat baru bikin praktis pemasangannya. Cek info selengkapnya di https://t.co/pz3Nrs03v7. 

#AktivitasTanpaBatas
#InternetnyaIndonesia
#IndiHome https://t.co/IBlsiHx6f2",2023-06-14 07:58:22+00:00,IndiHome,sudut rumah sobat jangkau internet lancar loh langgan ultra wifi perangkat bikin praktis pasang cek informasi lengkap,sudut rumah sobat terjangkau internet lancar loh langganan ultra wifi perangkat bikin praktis pemasangannya cek informasi selengkapnya,sekarang setiap sudut rumah sobat bisa terjangkau internet dengan lancar loh cukup langganan ultra wifi saja tanpa perangkat baru bikin praktis pemasangannya cek informasi selengkapnya di,1
6,392,kak jaringannya lambat ada perbaikan atau bagaimana iya,0,positive,1,@IndiHome kak jaringannya lemot ada perbaikan atau gimana ya,2023-06-09 07:12:57+00:00,inyeop_bucinnya,jaring lambat baik,jaringannya lambat perbaikan,kak jaringannya lambat ada perbaikan atau bagaimana iya,0
7,1692,indihome memberikan kecepatan upload yang tinggi dan konsisten,0,positive,1,IndiHome memberikan kecepatan upload yang tinggi dan konsisten. @indihome,2023-02-10 22:01:20+00:00,jbr2606,indihome cepat upload konsisten,indihome kecepatan upload konsisten,indihome memberikan kecepatan upload yang tinggi dan konsisten,1
8,762,halo cara saya berhenti langganan tv bagaimana iya,2,positive,1,"Halo @indihome, cara saya berhenti langganan tv bagaimana ya?",2022-07-02 08:39:52+00:00,betadinesachet,halo henti langgan tv,halo berhenti langganan tv,halo cara saya berhenti langganan tv bagaimana iya,0
9,1258,halo kalau mau mutus langganan tv cable tapi tetap berlangganan wifinya bisa bagaimana iya caranya plasa telekomunikasi soalnya jauh dari rumah,8,positive,1,"hallo @IndiHome , kalo mau mutus langganan tv cable tapi tetap berlangganan wifinya bisa? bagaimana ya caranya? plasa telkom soalnya jauh dari rumah.",2023-01-30 05:20:22+00:00,rizkabukanriska,halo mutus langgan tv cable langgan wifinya plasa telekomunikasi rumah,halo mutus langganan tv cable berlangganan wifinya plasa telekomunikasi rumah,halo kalau mau mutus langganan tv cable tapi tetap berlangganan wifinya bisa bagaimana iya caranya plasa telekomunikasi soalnya jauh dari rumah,1
10,1667,kecepatan internet indihome membuat aktivitas online saya jadi lebih nyaman terima kasih indihome,9,positive,1,"Kecepatan internet IndiHome membuat aktivitas online saya jadi lebih nyaman. Terima kasih, IndiHome!",2023-01-09 19:55:36+00:00,farkhanrmdh,cepat internet indihome aktivitas online nyaman terima kasih indihome,kecepatan internet indihome aktivitas online nyaman terima kasih indihome,kecepatan internet indihome membuat aktivitas online saya jadi lebih nyaman terima kasih indihome,1
11,293,lampung mana mbak,0,positive,1,@inidorami @Telkomsel @IndiHome Lampung mana mbak🤣,2023-06-11 05:24:01+00:00,Paqijoe_,lampung mbak,lampung mbak,lampung mana mbak,0
12,1402,kalau mau hapus channel tv bagaimana cara nya admin,0,positive,1,Kalo mau hapus chanel tv gimana cara nya min @IndiHome,2023-01-19 01:03:49+00:00,sijonimaulagi,hapus channel tv admin,hapus channel tv admin,kalau mau hapus channel tv bagaimana cara nya admin,0
13,330,pak kali bal coba tanya,1,positive,1,"@m_iqbalfadillah @IndiHomeCare @IndiHome Pak @jokowi kali bal, coba tanya",2023-06-10 10:05:19+00:00,AgPrayoga_,kali bal coba,kali bal coba,pak kali bal coba tanya,1
14,410,tolonglah kalian sudah merusak momentku,1,positive,1,"@IndiHomeCare @IndiHome 
tolonglah, kalian sudah merusak momentku",2023-06-08 18:42:29+00:00,adithiakrisandi,tolong rusak momentku,tolonglah merusak momentku,tolonglah kalian sudah merusak momentku,1
15,1178,admin bagaimana cara ubah tampilan layanan tv indiehome seperti tampilan lama,0,positive,1,"Admin @IndiHome  gmn cara ubah tampilan Layanan TV Indiehome, seperti tampilan lama.",2023-04-13 09:28:00+00:00,Aulia2Said,admin ubah tampil layan tv indiehome tampil,admin ubah tampilan layanan tv indiehome tampilan,admin bagaimana cara ubah tampilan layanan tv indiehome seperti tampilan lama,1
16,1294,bagaimana cara penghentian berlangganan usee tv add on dan telepon tanpa mememutuskan internet nya admin,6,positive,1,"Bagaimana cara penghentian berlangganan usee tv, add on dan telepon tanpa mememutuskan internet nya min ? @IndiHome",2023-01-09 03:47:02+00:00,perdana_ditya,henti langgan usee tv add on telepon putus internet admin,penghentian berlangganan usee tv add on telepon mememutuskan internet admin,bagaimana cara penghentian berlangganan usee tv add on dan telepon tanpa mememutuskan internet nya admin,1
17,1731,mantap banget selalu kasih yang terbaik selalu puas mnjdi langganan setia terima kasih,13,positive,1,"Mantap banget @Indihome , selalu kasih yang terbaik.. selalu puas mnjdi langganan setia @Indihome. 
Makasih ... 

#WestlifeIndiHome #PrambananWestlifeIndiHome #AktivitasTanpaBatas",2023-04-03 22:27:44+00:00,mario__hasan,mantap banget kasih baik puas mnjdi langgan setia terima kasih,mantap banget kasih terbaik puas mnjdi langganan setia terima kasih,mantap banget selalu kasih yang terbaik selalu puas mnjdi langganan setia terima kasih,1
18,1575,nah setelah teknisi waktu pasang modem bilang tv channel dan iflix belum aktif karena modem belum tersedia hari ini iflix sudah aktif tanpa ganti modem catch play pun sudah bisa digunakan apa ganti modem itu cuma alasan,0,positive,1,"Nah. Setelah teknisi waktu pasang modem bilang tv channel dan iflix blm aktif karena modem belum tersedia, 2 hari ini iflix sudah aktif TANPA GANTI MODEM. Catch play pun sudah bisa digunakan. Apa ganti modem itu cuma alasan? @IndiHome",2023-01-10 02:54:13+00:00,RrQuinn55,teknisi pasang modem bilang tv channel iflix aktif modem sedia iflix aktif ganti modem catch play ganti modem alas,teknisi pasang modem bilang tv channel iflix aktif modem tersedia iflix aktif ganti modem catch play ganti modem alasan,nah setelah teknisi waktu pasang modem bilang tv channel dan iflix belum aktif karena modem belum tersedia hari ini iflix sudah aktif tanpa ganti modem catch play pun sudah bisa digunakan apa ganti modem itu cuma alasan,1
19,1446,tayanganmu ngrusak tv tok cok,0,positive,1,Tayanganmu ngrusak tv tok! Cok! @indihome @UseeTVcom,2023-05-28 21:23:48+00:00,rsydl23,tayang ngrusak tv tok cok,tayanganmu ngrusak tv tok cok,tayanganmu ngrusak tv tok cok,0
20,669,pertandingan perebutan gelar juara pildun antara argentina sampai prancis segera dimulai ini negara mana jagoan kamu sobat siapa pun jagoannya nonton di vidio melalui indihome tv,1,positive,1,"Pertandingan perebutan gelar juara PilDun 2022 antara Argentina &amp; Prancis segera dimulai, nih!

Negara mana jagoan Kamu, Sobat? Siapa pun jagoannya nonton di Vidio melalui IndiHome TV 🤩

#AktivitasTanpaBatas
#InternetnyaIndonesia
#PilDun2022",2022-12-18 14:38:06+00:00,IndiHome,tanding rebut gelar juara pildun argentina prancis negara jago sobat jago nonton vidio indihome tv,pertandingan perebutan gelar juara pildun argentina prancis negara jagoan sobat jagoannya nonton vidio indihome tv,pertandingan perebutan gelar juara pildun antara argentina sampai prancis segera dimulai ini negara mana jagoan kamu sobat siapa pun jagoannya nonton di vidio melalui indihome tv,0
